authors,author_id,title,year,source_title,volume,issue,cited_by,author_keywords,index_keywords,document_type,article_no
Bohman M| James B| Wirthlin M.J| Quinn H| Goeders J.,57204968964|57204964732|7003292762|12544690900|54978625300|,Microcontroller compiler-assisted software fault tolerance,2019,IEEE Transactions on Nuclear Science,66,1,715,Silent data corruption (SDC)| single-event upset (SEU)| soft errors| software fault tolerance,Controllers| Error correction| Fault tolerance| Microcontrollers| Neutron beams| Neutron irradiation| Open source software| Open systems| Program compilers| Radiation hardening| Software reliability| Commercial off the shelves| High radiation environment| Msp430 microcontrollers| Processor architectures| Silent data corruption (SDC)| Single event upsets| Soft error| Software fault tolerances| Software testing,Article,385
Libano F| Wilson B| Anderson J| Wirthlin M.J| Cazzaniga C| Frost C| Rech P.,57208246750|57206834042|57205645397|7003292762|55353164900|7101816954|19638969800|,Selective hardening for neural networks in FPGAs,2019,IEEE Transactions on Nuclear Science,66,1,831,Field-programmable gate array (FPGA)| hardening| neural networks| reliability,Biometrics| Errors| Hardening| Logic gates| Low power electronics| Military vehicles| Neural networks| Neutron irradiation| Neutrons| Radiation effects| Radiation hardening| Reliability| Tunnelling magnetoresistance| Attractive solutions| Biological neural networks| Field programmable gate array (FPGAs)| Iris| Iris recognition| Neutron radiations| Selective hardening| Tunneling magnetoresistance| Field programmable gate arrays (FPGA),Article,386
Neff C| Elston E| Schrand A| Crane N.,57200529047|57200527971|11440678000|7003772744|,Adhesion testing of printed inks while varying the surface treatment of polymer substrates,2019,Journal of Adhesion,,,403,Additive manufacturing| adhesion| conductive inks| printed electronics| single lap shear testing| surface treatments,3D printers| Additives| Adhesion| Adhesives| Chemical bonds| Conductive materials| Curing| Plasma theory| Processing| Soldered joints| Surface testing| Surface treatment| Testing| Adhesive failure modes| Conductive ink| Electronics manufacturing| Interfacial shear strength| Printed electronics| Processing condition| Single lap shears| Structural component| Substrates,Review,387
Kobayashi M| Arashida Y| Yamashita G| Matsubara E| Ashida M| Johnson J.A| Katayama I.,57192070840|24337245000|56023819400|10639240900|11043349200|57209824884|7202317282|,High-acquisition-rate single-shot pump-probe measurement using chirped-fiber Bragg gratings,2019,Optics InfoBase Conference Papers,Part F140-CLEO_Europe 2019,,868,,Fiber Bragg gratings| Group velocity dispersion| Laser ablation| Probes| Acquisition rates| Chaotic phenomena| Chirped fiber Bragg grating| Chirped pulse| Photo-induced phase transitions| Propagation loss| Pump probe measurement| Time stretching| Signal to noise ratio,Conference Paper,388
Lübeck A| Mohamad G| Fonseca F.S| Milani A.S| Roman H.R.,54782837300|8048702500|7004435321|57207228809|7005521036|,Numerical analyses of mortar incorporating the variation in Poisson’s ratio with increasing axial load,2019,Masonry International,32,1,468,Compressive strength| Confinement| Mortar| Numerical model| Stress-strain behaviour,,Article,389
Gou Y| Chen G| Howell L.L.,13411176900|8922674200|57211516485|,A design approach to fully compliant multistable mechanisms employing a single bistable mechanism,2019,Mechanics Based Design of Structures and Machines,,,837,Fully compliant| multistable mechanism| pseudo-rigid-body model,Bending strength| End effectors| Rigid structures| Bistable mechanisms| Buckling constraints| Critical buckling loads| Force-displacement characteristics| Fully compliant| Monolithic structures| Multistable| Pseudo-rigid body models| Mechanisms,Article,390
Peterson S| Stephens K.K| Hughes A| Purohit H.,57205595555|9336961600|16425686200|57217471535|,When official systems overload: A framework for finding social media calls for help during evacuations,2019,Proceedings of the International ISCRAM Conference,2019-May,,149,Data| Disasters| Emergency response| Framework| Hurricanes| Social media,Disasters| Hurricanes| Information management| Information systems| Information use| Social networking (online)| Characterization tools| Data| Emergency response| Framework| Hurricane evacuation| Large scale disasters| Public safety answering points| Social media| Emergency services,Conference Paper,391
Sen U| Chatterjee S| Crockett J| Ganguly R| Yu L| Megaridis C.M.,56577741600|55807316700|55457444300|7102317656|57200514682|7003388995|,Orthogonal liquid-jet impingement on wettability-patterned impermeable substrates,2019,Physical Review Fluids,4,1,30,,Drop breakup| Electronic cooling| Hydraulic jump| Hydraulic machinery| Hydrophobicity| Jets| Liquids| Oscillators (electronic)| Surface properties| Thin films| Wetting| Analytical expressions| Axisymmetric modeling| Fuel atomization| Horizontal surfaces| Liquid jet impingement| Patterning approaches| Radial variations| Super-hydrophobic surfaces| Substrates,Article,392
Pehrson N.A| Banik J.A.,57188833818|16229559200|,Folding approaches for tensioned precision planar shell structures,2019,Journal of Spacecraft and Rockets,56,2,184,,Antennas| Degrees of freedom (mechanics)| Precision engineering| Serpentine| Trusses| Antenna aperture| Deployment architecture| Deployment kinematics| Diamond patterns| Folding patterns| Packaging density| Single degree of freedoms| Spacecraft structures| Aspect ratio,Conference Paper,393
Asimaki D| Villa J.M| Ayoubi P| Franke K| Hutchinson T.,57194703295|57207993531|56560118600|55315026400|7101640734|,"Mexico City Basin Effects: Past, Present, and Future",2019,Geotechnical Special Publication,2019-March,GSP 308,289,,Earthquake engineering| Geotechnical engineering| Seismic response| Soil mechanics| Structural analysis| Tall buildings| Catastrophic consequences| Earthquake sequences| Energy interactions| Epicentral distances| High rise building| Post-earthquake reconnaissances| Structural damages| Subduction-zone earthquakes| Earthquakes,Conference Paper,394
Roxanne Hiltz S| Hughes A| Imran M| Plotnick L| Power R| Turoff M.,57214608701|16425686200|55598006500|23668489900|15848894300|57209871741|,Requirements for software to support the use of social media in emergency management: A Delphi study,2019,Proceedings of the International ISCRAM Conference,2019-May,,0,Crisis informatics| Delphi method| Emergency management| Social media| Software requirements,Civil defense| Emergency services| Engineers| Information systems| Information use| Managers| Risk management| Social networking (online)| Crisis informatics| Delphi method| Emergency management| Social media| Software requirements| Information management,Conference Paper,395
Hovanski Y| Mishra R| Sato Y| Upadhyay P| Yan D.,18535712500|7402648240|35380198000|57200884469|57200723881|,Preface,2019,"Minerals, Metals and Materials Series",,,647,,,Editorial,396
Rodríguez E| Bourassa M| Chelton D| Thomas Farrar J| Long D| Perkovic-Martin D| Samelson R.,7401952672|35556946600|7004590414|43261827400|35508257500|55428435400|7004611313|,The winds and currents mission concept,2019,Frontiers in Marine Science,6,JUL,353,Air-sea interaction| Doppler| Relative vorticity| Scatterometer| Sea ice| Surface currents| Surface winds,,Short Survey,397
Solovjov V.P| Webb B.W| André F| Lemonnier D.,6602191934|7201511283|57193878725|7004507225|,Locally correlated slw model for prediction of gas radiation in non-uniform media,2019,Proceedings of the International Symposium on Radiative Transfer,2019-June,,127,,,Conference Paper,398
Andre F| Coelho F| Consalvi J.-L| Franca F| Galtier M| Nmira F| Solovjov V.P| Webb B.W.,57193878725|57193568214|6506341914|7005053199|55671352500|22952048100|6602191934|7201511283|,Accuracy of engineering methods for radiative transfer in CO2-H2O mixtures at high temperature,2019,Proceedings of the International Symposium on Radiative Transfer,2019-June,,217,,,Conference Paper,399
Consalvi J.L| Andre F| Coelho F| Franca F| Nmira F| Galtier M| Solovjov V| Webb B.,6506341914|57193878725|57193568214|7005053199|22952048100|55671352500|6602191934|7201511283|,Assessment of engineering gas radiative property models in high pressure turbulent jet diffusion flames,2019,Proceedings of the International Symposium on Radiative Transfer,2019-June,,325,,,Conference Paper,400
Pastusek P| Payette G| Shor R| Cayeux E| Aarsnes U.J| Hedengren J| Menand S| Macpherson J| Gandikota R| Behounek M| Harmer R| Detournay E| Illerhaus R| Liu Y.,6507447149|23012428800|56642521500|24780432200|55233755100|9277159100|7801636116|7101973402|35368447500|7801530241|56689651300|7005786977|7801609389|55922401500|,"Creating open source models, test cases, and data for oilfield drilling challenges",2019,"SPE/IADC Drilling Conference, Proceedings",2019-March,,874,,Benchmarking| Codes (symbols)| Computer software reusability| Drills| Infill drilling| Open Data| Open systems| Porous materials| Software testing| Statistical Physics| Drilling operation| Fundamental principles| Joint industry programs| Non-linear dynamics| Open source repositories| Post-well analysis| Real-time operation| Software capability| Open source software,Conference Paper,401
Allender E.J| Orgel C| Almeida N.V| Cook J| Ende J.J| Kamps O| Mazrouei S| Slezak T.J| Soini A.-J| Kring D.A.,57191525048|41262329300|57203758421|57203801188|57203805526|57202763603|56116155300|57203801050|57199854443|56979909000|,Traverses for the ISECG-GER design reference mission for humans on the lunar surface,2019,Advances in Space Research,63,1,330,Design reference mission| Landing sites| Lunar exploration| Moon| Sample return| South Pole-Aitken basin,Landing| Lunar landing| Manned space flight| Moon| Poles| Space research| Design reference missions| Engineering parameters| Extravehicular activity| Landing site| National Research Council| Sample return| South polar region| South Pole-Aitken basins| Lunar missions,Article,402
Transtrum M.K| Francis B.L| Saric A.T| Stankovic A.M.,8448666000|57205617484|6701777223|57218886193|,Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,2018,IEEE Power and Energy Society General Meeting,2018-August,,479,Global Optimization| Parameter Estimation| System Identification,Computational geometry| Global optimization| Identification (control systems)| Transients| Computational differential geometry| Continuous dynamics| Differential and algebraic equations| Dynamic power system model| Identification procedure| Information geometry| Transient stability models| Transient stability studies| Parameter estimation,Conference Paper,403
Anderson J.D| Leavitt J.C| Wirthlin M.J.,57205645397|57205650285|7003292762|,Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,2018,"2018 IEEE Nuclear and Space Radiation Effects Conference, NSREC 2018",,,241,,Cache memory| Computer circuits| Computer control systems| Multiprocessing systems| Neutron scattering| Neutrons| Radiation effects| Radiation hardening| System-on-chip| Transients| External power supplies| Multiple processors| Neutron cross sections| Processing systems| Processor failures| Programmable logic| Silent data corruptions| Single event upsets| Neutron irradiation,Conference Paper,404
Lee D.S| King M| Evans W| Cannon M| Perez-Celis A| Anderson J| Wirthlin M| Rice W.,56698926600|55627591500|57205652485|56957771800|57204469757|57205645397|7003292762|57193683516|,Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,2018,"2018 IEEE Nuclear and Space Radiation Effects Conference, NSREC 2018",,,170,,Computer control systems| FinFET| Flip flop circuits| Heavy ions| Radiation effects| Radiation hardening| Static random access storage| System-on-chip| Blockram| Single event| Single event characterization| Single event latch-up| Single event upsets| Neutron irradiation,Conference Paper,405
Svenda V.G| Stankovic A.M| Saric A.T| Transtrum M.K.,57192247939|57218886153|6701777223|8448666000|,Influence of Communication Irregularities and Co-simulation on Hybrid Power System State Estimation,2018,"Proceedings - 2018 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2018",,,307,Co-simulation| Communication delay| Packet drop| State estimation,Electric power transmission networks| Smart power grids| State estimation| Co-simulations| Communication delays| Dropped packets| Hybrid power systems| Packet drops| Phasor Measurement Unit (PMU)| Power system state estimation| SCADA measurements| Phasor measurement units,Conference Paper,406
Meena G.G| Jain A| Parks J.W| Stambaugh A| Patterson J.L| Hawkins A.R| Schmidt H.,56709476900|55247719300|55326143600|56871132500|7402407628|7102975249|16422844400|,Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,2018,Lab on a Chip,18,23,61,,"nucleic acid| dimeticone| nylon| poly(dimethylsiloxane)-polyamide copolymer| virus DNA| Article| controlled study| equipment design| excitation| Flavivirus| fluorescence| human| limit of detection| nanofabrication| nonhuman| nucleic acid analysis| priority journal| protein determination| sensitivity and specificity| virus detection| Zika fever| analysis| blood| chemistry| devices| diagnosis| genetics| lab on a chip| optical instrumentation| Zika virus| Analytic Sample Preparation Methods| Diagnosis| Dimethylpolysiloxanes| DNA, Viral| Equipment Design| Humans| Lab-On-A-Chip Devices| Limit of Detection| Nylons| Optical Devices| Zika Virus",Article,407
Kim K.M| Saito M| Schultz G.G| Eggett D.L.,57202192401|55727966500|8244752200|6602572190|,Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model,2018,Transportation Research Record,2672,17,662,,Computer software| Safety engineering| Access management| Conflict analysis| Multiple-access management| Safety assessments| Simulated environment| Simulation software| Surrogate analysis| Traffic volumes| Highway administration,Article,408
DeFigueiredo B.P| Zimmerman T.K| Russell B.D| Howell L.L.,56330970800|57191362366|57203191415|57211516485|,Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,2018,"Journal of Electronic Packaging, Transactions of the ASME",140,4,485,,Flexible electronics| Printed circuit design| Stiffness| Timing circuits| Flexible printed circuit boards| Geometric feature| Global stiffness| Material selection| Maximum stress| Non ideals| Stiffness reduction| Printed circuit boards,Article,409
Searle M| Emerson P| Crockett J| Maynes D.,57193749678|57203142381|55457444300|6701863708|,Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,2018,International Journal of Heat and Mass Transfer,127,,439,Film boiling| Microstructure| Pool boiling| Post patterned| Rib patterned| Superhydrophobic surface,Evaporation| Geometry| Heat transfer| Hydrophobicity| Microstructure| Nucleate boiling| Surface properties| Film boiling| Pool boiling| Post patterned| Rib patterned| Super-hydrophobic surfaces| Heat flux,Article,410
Duffy C| Prugue C| Glew R| Smith T| Howell C| Choi G| Cook A.D.,57204916397|57204916190|57204910117|57198809206|57204925116|57204911023|56514586700|,Feasibility of induced pluripotent stem cell therapies for treatment of type 1 diabetes,2018,Tissue Engineering - Part B: Reviews,24,6,269,diabetes| encapsulation| stem cells,"Cytology| Encapsulation| Medical problems| Cell differentiation| Immune rejection| Induced pluripotent stem cells| Material selection| Retrievability| Safety concerns| Type 1 diabetes| Vascularization| Stem cells| alginic acid| dimeticone| fibrin| glibenclamide| politef| polysulfone| animal experiment| animal model| cell aggregation| cell differentiation| cell encapsulation| cell size| controlled study| feasibility study| glycemic control| human| induced pluripotent stem cell| insulin dependent diabetes mellitus| nonhuman| nonobese diabetic mouse| pathogenesis| priority journal| Review| skin fibroblast| stem cell transplantation| teratoma| cell differentiation| cytology| induced pluripotent stem cell| insulin dependent diabetes mellitus| procedures| Cell Differentiation| Diabetes Mellitus, Type 1| Feasibility Studies| Humans| Induced Pluripotent Stem Cells| Stem Cell Transplantation",Review,411
Butler J| Bowen L| Wilcox E| Shrager A| Frecker M.I| von Lockette P| Simpson T.W| Lang R.J| Howell L.L| Magleby S.P.,57192710054|55303499100|56577817900|57189623841|7003678761|6602997992|7202539045|15848771600|57211516485|6701720294|,A model for multi-input mechanical advantage in origami-based mechanisms,2018,Journal of Mechanisms and Robotics,10,6,871,,Compliant mechanisms| Complex mechanisms| Design process| Engineering problems| Force deflection| Magnetic actuation| Mechanical advantage| Multiple inputs| Single input and single outputs| Mechanisms,Article,412
Chen G.-M| Howell L.L.,8922674200|57211516485|,Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,2018,Chinese Journal of Mechanical Engineering (English Edition),31,1,239,Compliant mechanism| Lamina emergent joint| Maximum torsion stress| Rectangular beam,Mechanisms| Torsional stress| Design equation| Design insights| Rectangular beams| Rectangular cross-section beams| Symmetric equations| Thickness-to-width ratio| Torsional compliance| Two-dimension| Compliant mechanisms,Article,413
Rice M| Temple K| Chalfant T| Ernst D| Kahn C.,7202083837|55710750200|6508087756|57207110219|57214580514|,Spectrum allocations: The aeronautical telemetry story in the USA,2018,IEEE Aerospace and Electronic Systems Magazine,33,12,410,,Fixed wings| Aeronautical telemetry| Airborne tests| Flight test engineers| Rotary wing aircrafts| Spectrum allocation| Telemetering equipment,Article,414
"McGhin R.F| III, Hotchkiss R.H| Kern E.",57204110218|26642910500|56549581200|,Submerged hydraulic jump remediation at low-head dams: Partial width deflector design,2018,Journal of Hydraulic Engineering,144,12,726,,Hydraulic jump| Counter current| Head waters| Low-head dams| Partial widths| Prototype testing| Submerged hydraulic jumps| Surface velocity| Tailwater| Dams,Article,415
Jensen J.L| Holt E.A| Sowards J.B| Heath Ogden T| West R.E.,55259726700|55256673100|57202609763|6508265156|56433927200|,Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,2018,Journal of Science Education and Technology,27,6,107,Active learning| Content learning| Flipped classroom| Undergraduate,,Article,416
Cox J.J| Homer E.R| Tikare V| Kurata M.,7404022739|8705255200|7003352704|7102280128|,Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,2018,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,49,12,124,,Fuels| Phase transitions| Ternary alloys| Thermal gradients| Uranium alloys| Zirconium alloys| Alloy compositions| Compositional evolution| Compositional range| Compositional spectra| Compositional uniformity| Phase field methods| Phase field models| Simulated evolutions| Plutonium alloys,Article,417
Whitehead J.P| Haut T| Wingate B.A.,36154754400|34976725300|6602423274|,"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",2018,Theoretical and Computational Fluid Dynamics,32,6,486,Multi-scale asymptotics| Reduced models| Slow manifold| Wave-mean flow interaction,Astrophysics| Mathematical operators| Nonlinear equations| Numerical methods| Time measurement| Asymptotics| Boussinesq equations| Multiple time scale| Parallel numerical method| Reduced model| Slow manifolds| System of partial differential equations| Wave-mean-flow interaction| Difference equations| Boussinesq equation| nonlinearity| numerical method| quasi-geostrophic flow| wave field,Article,418
Huang X| Fan M| Wang X| Wang Y| Argyle M.D| Zhu Y.,57198044407|7201970805|55736791400|7601492574|7004479819|57203572325|,A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,2018,Applied Energy,230,,228,Anti-carbon deposition| Chemical looping combustion| Copper oxide oxygen carrier| Fly ash support,Alumina| Aluminum oxide| Carbon dioxide| Chemical reactors| Coal| Coal ash| Copper oxides| Cost effectiveness| Deposition| Energy efficiency| Fly ash| Fossil fuel power plants| Fuels| Ionization of gases| Iron oxides| Methane| Oxygen| Waste incineration| Carbon deposition| Chemical looping combustion| Cost-effective approach| Environmental-friendly| Fossil fuel combustion| Impregnation methods| Oxygen Carrier| Thermogravimetric analyzers| Coal combustion| bioreactor| byproduct| carbon dioxide| coal combustion| combustion| decomposition| energy efficiency| fly ash| fossil fuel| inorganic compound| iron oxide| methane| performance assessment| technological development| temperature effect,Article,419
Feeman S.M| Wright L.B| Salmon J.L.,57201742316|57193360481|56830076500|,Exploration and evaluation of CAD modeling in virtual reality,2018,Computer-Aided Design and Applications,15,6,175,3D printing. rapid prototyping| modeling| proof of concept| user testing| Virtual reality,Automobile testing| Integration testing| Models| Surveys| Three dimensional computer graphics| Virtual reality| 3-D printing| CAD applications| Development stages| Proof of concept| Rectangular prisms| Three-dimensional model| User testing| Virtual reality modeling| Computer aided design,Article,420
Tobiasson J.R| Egbert S.C| Adams B.R| Tree D.R.,57200687939|57200688910|7202518970|7004511126|,An optical method for the measurement of combustion gas temperature in particle laden flows,2018,Experimental Thermal and Fluid Science,98,,506,,Combustion| Fourier transform infrared spectroscopy| Temperature measurement| Thermocouples| Aspirated thermocouple| Combustion gas temperatures| Combustion products| Fourier transform infrared spectrometer| Operating condition| Particle laden flows| Physical limitations| Spectral measurement| Gas emissions,Article,421
Clavijo C.E| Stevens K| Crockett J| Maynes D.,56463982900|55764401200|55457444300|6701863708|,Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,2018,International Journal of Heat and Mass Transfer,126,,736,,Atmospheric temperature| Atomization| Drops| Heat flux| High speed photography| Image processing| Surface properties| Droplet impingement| Image processing algorithm| Low surface temperature| Super-hydrophobic surfaces| Surface microstructures| Surface structuring| Surface temperatures| Surface wettability| Hydrophobicity,Article,422
Chahal J.S| Ghorpade S.R.,6602549459|6602123531|,Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,2018,Finite Fields and their Applications,54,,509,Exceptional polynomial| Permutation polynomial| Separable polynomial| Weil bound,Algebra| Finite element method| Algebraic curves| Exceptional polynomials| Finite fields| Permutation polynomials| Positive integers| Weil bounds| Polynomials,Article,423
Hammond A.M| Frank I.W| Camacho R.M.,57191156976|57193089338|8929123100|,Error correction in structured optical receivers,2018,IEEE Journal of Selected Topics in Quantum Electronics,24,6,329,Channel coding| integrated optics| phased arrays| quantum mechanics,Butler matrix| Error correction| Fabrication| Optical receivers| Photonics| Butler matrices| Code-words| Codebooks| Error correction codes| Internal phase| Phase error| Adaptive optics,Article,424
Desrochers C| Prinz G.S| Richards P.W.,57201086222|26634282400|26634229600|,Column axial load effects on the performance of skewed SMF RBS connections,2018,Journal of Constructional Steel Research,150,,62,,Flanges| Seismology| Structural frames| Beam - column connection| Beam-to-column connections| Connection rotation| High rise structures| RBS moment connection| Reduced beam section| Seismic Performance| Special moment frames| Axial loads,Article,425
Shah D| Patel D.I| Roychowdhury T| Rayner G.B| O’Toole N| Baer D.R| Linford M.R.,57204595191|57204607180|56226072000|7003631423|57204596520|7103236401|7004234161|,Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon,2018,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,36,6,199,,Alumina| Aluminum oxide| Atomic layer deposition| Film growth| Photoelectrons| Photons| Silicon| Surveys| Extract informations| Growth process| Trimethylaluminum| XPS spectra| XPS survey| X ray photoelectron spectroscopy,Article,426
Loiseau J| Lim H| Bergen B.K| Moss N.D| Alin F.,57195264521|57204829124|35239803700|37086141200|8329346700|,FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,2018,"Proceedings - 2018 International Conference on High Performance Computing and Simulation, HPCS 2018",,,555,HPC| Simulation| Smoothed Particles Hydrodynamics,Binary trees| Domain decomposition methods| Flow of fluids| Forestry| Shock tubes| Supercomputers| Trees (mathematics)| Distributed architecture| Distribution strategies| Los Alamos National Laboratory| Multiphysics problems| Simulation| Smoothed particle hydrodynamics| Tree construction| Tree data structures| Hydrodynamics,Conference Paper,427
Ni Q| Crane N.,55369699900|7003772744|,Controlling normal stiffness in droplet-based linear bearings,2018,Micromachines,9,10,622,Bearing| Capillary| Surface tension| Wetting,Bearings (structural)| Drops| Stiffness| Surface tension| Analytical approximation| Capillary| Design strategies| Load carrying capability| Positioning accuracy| Stiffness characteristics| Supporting surfaces| Wetting boundaries| Wetting,Article,428
Hastings A| Jensen S| Goeders J| Hutchings B.,57204830739|57204825465|54978625300|7006372151|,Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,2018,"2018 IEEE 3rd International Verification and Security Workshop, IVSW 2018",,,463,,Computer aided design| Integrated circuit design| Benchmark suites| CAD tool| False positive| FPGA design| Reduce costs| Time to market| Field programmable gate arrays (FPGA),Conference Paper,429
Soltani M| Davis B.R| Ford H| Nelson J.A.D| Bundy B.C.,57203181568|57203192064|57203188827|55458271500|56266132600|,"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",2018,Biochemical Engineering Journal,138,,330,Biosensor| Cell-free protein synthesis| CFPS| in vitro protein synthesis| Protein biosensor| TX-TL,Biosensors| Operating costs| Protein folding| Proteins| Transcription| Biosensing| Cell free protein synthesis| CFPS| In-vitro| Lab equipments| Protein biosensors| Specialized training| Specific detection| Biosynthesis| Article| cell free protein synthesis| cell free system| genetic procedures| human| in vitro study| nonhuman| priority journal| protein engineering| protein folding| protein synthesis| protein transcription| protein translation| quorum sensing| transcription regulation,Article,430
Safdarnejad S.M| Hedengren J.D| Powell K.M.,55619678900|9277159100|51461952600|,Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,2018,Applied Energy,228,,805,Carbon capture| Chemical absorption| Dynamic inputs| Dynamic optimization| Low temperature carbon capture| Power generation,Carbon capture| Carbon dioxide| Carbon dioxide process| Coal| Coal combustion| Coal storage| Costs| Electric energy storage| Electric power systems| Electric power utilization| Fossil fuel power plants| Global warming| Housing| Integrated control| Operating costs| Power generation| Precombustion| Wind power| Carbon capture process| Carbon dioxide emissions| Chemical absorption| Coal-fired power plant| Dynamic optimization| International policies| Low temperatures| Modeling and optimization| Temperature| absorption| carbon dioxide| carbon emission| coal-fired power plant| combustion| comparative study| demand analysis| electricity| energy policy| energy storage| fossil fuel| integrated approach| low temperature| optimization| performance assessment| power generation| prediction| price dynamics| wind power,Article,431
Richards P.W| Barnwell N.V| Tryon J.E| Sadler A.L.,26634229600|57202852104|57202852946|57202860730|,Flexural strength and stiffness of block-out connections for steel columns,2018,Engineering Structures,173,,229,,Columns (structural)| Concretes| Stiffness| Beams on elastic foundation| Column base plate| Economical connection| Experimental specimens| Flexural stiffness| Rotational spring| Steel moment frames| Strength and stiffness| Bending strength| column| concrete| flexure| steel| stiffness| strength,Article,432
Ding S| Das S.R| Brownlee B.J| Parate K| Davis T.M| Stromberg L.R| Chan E.K.L| Katz J| Iverson B.D| Claussen J.C.,56701619800|8369472600|57193322440|56376235200|57202237979|56702333100|7401994123|35336731800|8608718200|23388379100|,CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,2018,Biosensors and Bioelectronics,117,,478,Cancer| Carbon nanotubes| Chemical vapor deposition| CIP2A| Immunosensor| Point-of-care diagnostics,"Aspect ratio| Chemical sensors| Chemical vapor deposition| Diseases| Electrodes| Immunosensors| Light absorption| Yarn| Cancer| CIP2A| Electrical conductivity| Enzyme linked immunosorbent assay| Inter-digitated electrodes| Label-free immunosensor| Point of care diagnostic| Vertically aligned carbon nanotube| Carbon nanotubes| cancerous inhibitor PP2A| carbon nanotube| oncoprotein| unclassified drug| antibody| autoantigen| KIAA1524 protein, human| membrane protein| antibody specificity| Article| cancer screening| controlled study| enzyme linked immunosorbent assay| intermethod comparison| mouth cancer| point of care testing| saliva| sensitivity and specificity| supernatant| vertically aligned carbon nanotube array| chemistry| early cancer diagnosis| electrode| genetic procedures| human| limit of detection| metabolism| mouth tumor| point of care system| procedures| standards| Antibodies| Autoantigens| Biosensing Techniques| Early Detection of Cancer| Electrodes| Humans| Limit of Detection| Membrane Proteins| Mouth Neoplasms| Nanotubes, Carbon| Point-of-Care Systems",Article,433
Larmore G| Harrison W.K.,57204695840|35147940600|,"Active Topology Inference in Store, Code, and Forward Networks",2018,Proceedings of the International Symposium on Wireless Communication Systems,2018-August,,209,Network coding| Routing| Store code and forward| Topology inference,Codes (symbols)| Topology| Wireless telecommunication systems| Destination nodes| Maximum flows| Routing| Single probe| Single source| Store and forward| Store code and forward| Topology inference| Network coding,Conference Paper,434
Arabian F| Harrison W| Josephson C| Perrinsy E| Rice M.,57204692730|35147940600|56680952700|57204695450|7202083837|,On peak-to-average power ratio optimization for coded APSK,2018,Proceedings of the International Symposium on Wireless Communication Systems,2018-August,,338,,Bit error rate| Wireless telecommunication systems| Bit error probability| Code rates| Coded system| Constellation parameters| Peak to average power ratio| Symmetric information rates| Phase shift keying,Conference Paper,435
Boyce P| Harrisony W.K.,56490084100|57204693186|,Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression,2018,Proceedings of the International Symposium on Wireless Communication Systems,2018-August,,423,,Channel coding| Linear programming| Security of data| Signal encoding| Statistics| Wireless telecommunication systems| Adaptive natures| Compression algorithms| Compression encoding| Compression process| Compression techniques| Statistical attacks| Statistical information| Universal compression| Cryptography,Conference Paper,436
Henrie A| Codling J.R| Gneiting S| Christensen J.B| Awerkamp P| Burdette M.J| Smalley D.E.,57188711588|57200118672|57164754700|57200117120|57200118993|57200121629|16313800700|,Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),2018,Applied Optics,57,29,880,,,Erratum,437
Burgett J.M| Perrenoud A| Smith J.P.,55523036500|56287595000|7410171017|,Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education,2018,International Journal of Construction Education and Research,14,4,465,Construction education| environmental systems| HVAC| mechanical systems| student learning outcomes,,Article,438
